,maxDrawDown,averagePLDay,stdDevPLDay,cumulativePL,winPercentage
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=25,374986.117580999969504773616790771484375,378.54778713393994848956936039030551910400390625,10458.039069119944542762823402881622314453125,2164160.965633249841630458831787109375,84.17910447761194
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=19,518374.82312525040470063686370849609375,378.46565131572259588210727088153362274169921875,11246.52227337992735556326806545257568359375,2165414.8151889997534453868865966796875,90.10238907849829
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=17,1280516.1827755016274750232696533203125,1899.007454718285998751525767147541046142578125,36922.151663705895771272480487823486328125,6962948.760054499842226505279541015625,84.16030534351145
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=21,1874681.9949977509677410125732421875,4855.21617576051721698604524135589599609375,83853.989750298918806947767734527587890625,16154097.05246899835765361785888671875,84.75894245723173
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=17,1671860.18754875101149082183837890625,2285.19614188959121747757308185100555419921875,46786.1744630017710733227431774139404296875,8096858.700203000567853450775146484375,84.25742574257426
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=17,3517151.680445753969252109527587890625,2879.87219759000299745821394026279449462890625,73831.607152944357949309051036834716796875,9955697.21227200143039226531982421875,84.34343434343434
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=25,970139.810584750375710427761077880859375,1036.029879790809673067997209727764129638671875,27433.43844020404867478646337985992431640625,4204999.170908748172223567962646484375,82.54901960784314
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=17,407155.2260109982453286647796630859375,735.0387720334543928402126766741275787353515625,14760.402405243976318161003291606903076171875,3310529.9497777498327195644378662109375,84.86590038314176
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=25,998104.522679000278003513813018798828125,938.1546997295159826535382308065891265869140625,25685.919601838919334113597869873046875,3929948.201535000465810298919677734375,80.85519922254616
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=25,401988.066185249830596148967742919921875,414.8954888726667604714748449623584747314453125,10341.086393607778518344275653362274169921875,2295253.336016499437391757965087890625,81.31313131313132
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=17,1722233.129270247183740139007568359375,1726.559755472635515616275370121002197265625,41796.9292296763233025558292865753173828125,6389029.082739000208675861358642578125,84.82228626320845
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=19,1170171.20294725033454596996307373046875,967.417447924232646983000449836254119873046875,26037.89173708357338909991085529327392578125,3984517.748578500933945178985595703125,93.04084720121028
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=25,2178302.66684049926698207855224609375,1218.981110837946062019909732043743133544921875,49107.2025471977322013117372989654541015625,4834955.51224874891340732574462890625,83.1041257367387
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=17,387949.162689500139094889163970947265625,682.5547078248176831039017997682094573974609375,13903.79084116216472466476261615753173828125,3138137.8228142498992383480072021484375,84.94623655913979
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=21,464263.755847250227816402912139892578125,630.10860216511036924202926456928253173828125,12143.423728392037446610629558563232421875,2978388.1411317498423159122467041015625,84.61538461538461
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=19,1108835.80845075030811131000518798828125,1258.815718347911342789302580058574676513671875,29959.80989755386326578445732593536376953125,4886080.181387749500572681427001953125,93.01634472511144
