symbol,exchange,company_name,date,stock_price_close,option_symbol,option_expiration,strike,call/put,style,ask,bid,mean_price,settlement,iv,volume,open_interest,stock_price_for_iv,forward_price,isinterpolated,delta,vega,gamma,theta,rho
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00400000,01/21/2011,400.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,0,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00450000,01/21/2011,450.0,C,E,820.5,816.2,818.35,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.21842199999999998
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00450000,01/21/2011,450.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,383,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00500000,01/21/2011,500.0,C,E,770.6,766.2,768.4,0.0,0.448957,0,4365,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.242691
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00500000,01/21/2011,500.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,5128,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00550000,01/21/2011,550.0,C,E,720.6,716.2,718.4,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.266961
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00550000,01/21/2011,550.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,35,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00600000,01/21/2011,600.0,C,E,670.6,666.2,668.4,0.0,0.448957,0,1,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.29123000000000004
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00600000,01/21/2011,600.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,3777,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00650000,01/21/2011,650.0,C,E,620.6,616.2,618.4,0.0,0.448957,0,3,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.315499
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00650000,01/21/2011,650.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,26389,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00675000,01/21/2011,675.0,C,E,595.6,591.2,593.4,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.327633
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00675000,01/21/2011,675.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,463,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00700000,01/21/2011,700.0,C,E,570.6,566.2,568.4,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.33976799999999996
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00700000,01/21/2011,700.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,38122,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00720000,01/21/2011,720.0,C,E,550.6,546.3,548.45,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.349476
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00720000,01/21/2011,720.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,10,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00725000,01/21/2011,725.0,C,E,545.6,541.3,543.45,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.351903
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00725000,01/21/2011,725.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,776,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00740000,01/21/2011,740.0,C,E,530.6,526.3,528.45,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,0.0,0.0,0.0,0.359183
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00740000,01/21/2011,740.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,168,1271.87,1270.724,*,0.0,0.0,0.0,0.0,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00750000,01/21/2011,750.0,C,E,520.6,516.3,518.45,0.0,0.448957,0,1000,1271.87,1270.724,*,0.9990319999999999,1e-06,0.0,0.0,0.364037
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00750000,01/21/2011,750.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,32444,1271.87,1270.724,*,0.0,1e-06,0.0,-1e-06,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00760000,01/21/2011,760.0,C,E,510.6,506.3,508.45,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,1e-06,0.0,0.0,0.36889099999999997
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00760000,01/21/2011,760.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,323,1271.87,1270.724,*,0.0,1e-06,0.0,-1e-06,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00765000,01/21/2011,765.0,C,E,505.6,501.3,503.45,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,2e-06,0.0,0.0,0.371318
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00765000,01/21/2011,765.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,100,1271.87,1270.724,*,0.0,2e-06,0.0,-2e-06,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00770000,01/21/2011,770.0,C,E,500.6,496.3,498.45,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,2e-06,0.0,0.0,0.373745
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00770000,01/21/2011,770.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,0,1271.87,1270.724,*,0.0,2e-06,0.0,-3e-06,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00775000,01/21/2011,775.0,C,E,495.6,491.3,493.45,0.0,0.448957,0,0,1271.87,1270.724,*,0.9990319999999999,3e-06,0.0,0.0,0.376172
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00775000,01/21/2011,775.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,10247,1271.87,1270.724,*,0.0,3e-06,0.0,-4e-06,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00780000,01/21/2011,780.0,C,E,490.6,486.3,488.45,0.0,0.448957,0,0,1271.87,1270.724,*,0.999031,5e-06,0.0,0.0,0.378598
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00780000,01/21/2011,780.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,1675,1271.87,1270.724,*,0.0,5e-06,0.0,-6e-06,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122C00785000,01/21/2011,785.0,C,E,485.6,481.3,483.45,0.0,0.448957,0,0,1271.87,1270.724,*,0.999031,6e-06,0.0,0.0,0.381025
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPX   110122P00785000,01/21/2011,785.0,P,E,0.05,0.0,0.0,0.0,0.448957,0,1375,1271.87,1270.724,*,0.0,6e-06,0.0,-8e-06,0.0
